,country,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol
0,Albania,89,132,54,4.9
1,Algeria,25,0,14,0.7
2,Andorra,245,138,312,12.4
3,Angola,217,57,45,5.9
4,Antigua & Barbuda,102,128,45,4.9
5,Argentina,193,25,221,8.3
6,Armenia,21,179,11,3.8
7,Australia,261,72,212,10.4
8,Austria,279,75,191,9.7
9,Azerbaijan,21,46,5,1.3
10,Bahamas,122,176,51,6.3
11,Bahrain,42,63,7,2.0
12,Barbados,143,173,36,6.3
13,Belarus,142,373,42,14.4
14,Belgium,295,84,212,10.5
15,Belize,263,114,8,6.8
16,Benin,34,4,13,1.1
17,Bhutan,23,0,0,0.4
18,Bolivia,167,41,8,3.8
19,Bosnia-Herzegovina,76,173,8,4.6
20,Botswana,173,35,35,5.4
21,Brazil,245,145,16,7.2
22,Brunei,31,2,1,0.6
23,Bulgaria,231,252,94,10.3
24,Burkina Faso,25,7,7,4.3
25,Burundi,88,0,0,6.3
26,Cote d'Ivoire,37,1,7,4.0
27,Cabo Verde,144,56,16,4.0
28,Cambodia,57,65,1,2.2
29,Cameroon,147,1,4,5.8
30,Canada,240,122,100,8.2
31,Central African Republic,17,2,1,1.8
32,Chad,15,1,1,0.4
33,Chile,130,124,172,7.6
34,China,79,192,8,5.0
35,Colombia,159,76,3,4.2
36,Comoros,1,3,1,0.1
37,Congo,76,1,9,1.7
38,Cook Islands,0,254,74,5.9
39,Costa Rica,149,87,11,4.4
40,Croatia,230,87,254,10.2
41,Cuba,93,137,5,4.2
42,Cyprus,192,154,113,8.2
43,Czech Republic,361,170,134,11.8
44,DR Congo,32,3,1,2.3
45,Denmark,224,81,278,10.4
46,Djibouti,15,44,3,1.1
47,Dominica,52,286,26,6.6
48,Dominican Republic,193,147,9,6.2
49,Ecuador,162,74,3,4.2
50,Egypt,6,4,1,0.2
51,El Salvador,52,69,2,2.2
52,Equatorial Guinea,92,0,233,5.8
53,Eritrea,18,0,0,0.5
54,Estonia,224,194,59,9.5
55,Ethiopia,20,3,0,0.7
56,Fiji,77,35,1,2.0
57,Finland,263,133,97,10.0
58,France,127,151,370,11.8
59,Gabon,347,98,59,8.9
60,Gambia,8,0,1,2.4
61,Georgia,52,100,149,5.4
62,Germany,346,117,175,11.3
63,Ghana,31,3,10,1.8
64,Greece,133,112,218,8.3
65,Grenada,199,438,28,11.9
66,Guatemala,53,69,2,2.2
67,Guinea,9,0,2,0.2
68,Guinea-Bissau,28,31,21,2.5
69,Guyana,93,302,1,7.1
70,Haiti,1,326,1,5.9
71,Honduras,69,98,2,3.0
72,Hungary,234,215,185,11.3
73,Iceland,233,61,78,6.6
74,India,9,114,0,2.2
75,Indonesia,5,1,0,0.1
76,Iraq,9,3,0,0.2
77,Ireland,313,118,165,11.4
78,Israel,63,69,9,2.5
79,Italy,85,42,237,6.5
80,Jamaica,82,97,9,3.4
81,Japan,77,202,16,7.0
82,Jordan,6,21,1,0.5
83,Kazakhstan,124,246,12,6.8
84,Kenya,58,22,2,1.8
85,Kiribati,21,34,1,1.0
86,Kyrgyzstan,31,97,6,2.4
87,Laos,62,0,123,6.2
88,Latvia,281,216,62,10.5
89,Lebanon,20,55,31,1.9
90,Lesotho,82,29,0,2.8
91,Liberia,19,152,2,3.1
92,Lithuania,343,244,56,12.9
93,Luxembourg,236,133,271,11.4
94,Madagascar,26,15,4,0.8
95,Malawi,8,11,1,1.5
96,Malaysia,13,4,0,0.3
97,Mali,5,1,1,0.6
98,Malta,149,100,120,6.6
99,Mauritius,98,31,18,2.6
100,Mexico,238,68,5,5.5
101,Micronesia,62,50,18,2.3
102,Mongolia,77,189,8,4.9
103,Montenegro,31,114,128,4.9
104,Morocco,12,6,10,0.5
105,Mozambique,47,18,5,1.3
106,Myanmar,5,1,0,0.1
107,Namibia,376,3,1,6.8
108,Nauru,49,0,8,1.0
109,Nepal,5,6,0,0.2
110,Netherlands,251,88,190,9.4
111,New Zealand,203,79,175,9.3
112,Nicaragua,78,118,1,3.5
113,Niger,3,2,1,0.1
114,Nigeria,42,5,2,9.1
115,Niue,188,200,7,7.0
116,Norway,169,71,129,6.7
117,Oman,22,16,1,0.7
118,Palau,306,63,23,6.9
119,Panama,285,104,18,7.2
120,Papua New Guinea,44,39,1,1.5
121,Paraguay,213,117,74,7.3
122,Peru,163,160,21,6.1
123,Philippines,71,186,1,4.6
124,Poland,343,215,56,10.9
125,Portugal,194,67,339,11.0
126,Qatar,1,42,7,0.9
127,South Korea,140,16,9,9.8
128,Moldova,109,226,18,6.3
129,Romania,297,122,167,10.4
130,Russian Federation,247,326,73,11.5
131,Rwanda,43,2,0,6.8
132,St. Kitts & Nevis,194,205,32,7.7
133,St. Lucia,171,315,71,10.1
134,St. Vincent & the Grenadines,120,221,11,6.3
135,Samoa,105,18,24,2.6
136,Sao Tome & Principe,56,38,140,4.2
137,Saudi Arabia,0,5,0,0.1
138,Senegal,9,1,7,0.3
139,Serbia,283,131,127,9.6
140,Seychelles,157,25,51,4.1
141,Sierra Leone,25,3,2,6.7
142,Singapore,60,12,11,1.5
143,Slovakia,196,293,116,11.4
144,Slovenia,270,51,276,10.6
145,Solomon Islands,56,11,1,1.2
146,South Africa,225,76,81,8.2
147,Spain,284,157,112,10.0
148,Sri Lanka,16,104,0,2.2
149,Sudan,8,13,0,1.7
150,Suriname,128,178,7,5.6
151,Swaziland,90,2,2,4.7
152,Sweden,152,60,186,7.2
153,Switzerland,185,100,280,10.2
154,Syria,5,35,16,1.0
155,Tajikistan,2,15,0,0.3
156,Thailand,99,258,1,6.4
157,Macedonia,106,27,86,3.9
158,Timor-Leste,1,1,4,0.1
159,Togo,36,2,19,1.3
160,Tonga,36,21,5,1.1
161,Trinidad & Tobago,197,156,7,6.4
162,Tunisia,51,3,20,1.3
163,Turkey,51,22,7,1.4
164,Turkmenistan,19,71,32,2.2
165,Tuvalu,6,41,9,1.0
166,Uganda,45,9,0,8.3
167,Ukraine,206,237,45,8.9
168,United Arab Emirates,16,135,5,2.8
169,United Kingdom,219,126,195,10.4
170,Tanzania,36,6,1,5.7
171,USA,249,158,84,8.7
172,Uruguay,115,35,220,6.6
173,Uzbekistan,25,101,8,2.4
174,Vanuatu,21,18,11,0.9
175,Venezuela,333,100,3,7.7
176,Vietnam,111,2,1,2.0
177,Yemen,6,0,0,0.1
178,Zambia,32,19,4,2.5
179,Zimbabwe,64,18,4,4.7
